Order	Subobject Type	Description
1️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_ROOT_SIGNATURE	Defines the root signature used by shaders
2️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_AS	Amplification Shader bytecode
3️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_MS	Mesh Shader bytecode
4️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_PS	Pixel Shader bytecode
5️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_BLEND	Blend state configuration
6️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_SAMPLE_MASK	Sample mask (usually UINT_MAX)
7️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_RASTERIZER	Rasterizer state configuration
8️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_DEPTH_STENCIL	Depth-stencil state configuration
9️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_PRIMITIVE_TOPOLOGY	Must be D3D12_PRIMITIVE_TOPOLOGY_TYPE_TRIANGLE for mesh shaders
🔟	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_RENDER_TARGET_FORMATS	Specifies formats for render targets
1️⃣1️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_DEPTH_STENCIL_FORMAT	Format for depth-stencil buffer
1️⃣2️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_SAMPLE_DESC	MSAA sample description
1️⃣3️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_NODE_MASK	Node mask for multi-adapter setups
1️⃣4️⃣	D3D12_PIPELINE_STATE_SUBOBJECT_TYPE_FLAGS	Optional flags (e.g., D3D12_PIPELINE_STATE_FLAG_NONE)
